person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v67,67,1.6617343,v58,58,True,v58,58,False,False,9,9,1
person0,v63,63,1.6997668,v58,58,True,v58,58,False,False,5,5,2
person0,v64,64,1.7019618,v58,58,True,v58,58,False,False,6,6,3
person0,v52,52,1.7058704,v58,58,True,v58,58,False,False,6,-6,4
person0,v44,44,1.717029,v58,58,True,v58,58,False,False,14,-14,5
person0,v76,76,1.7315276,v58,58,True,v58,58,False,False,18,18,6
person0,v47,47,1.7416365,v58,58,True,v58,58,False,False,11,-11,7
person0,v85,85,1.7543432,v58,58,True,v58,58,False,False,27,27,8
person0,v86,86,1.7557514,v58,58,True,v58,58,False,False,28,28,9
person0,v71,71,1.7574589,v58,58,True,v58,58,False,False,13,13,10
person0,v59,59,1.7782156,v58,58,True,v58,58,False,False,1,1,11
person0,v37,37,1.7786504,v58,58,True,v58,58,False,False,21,-21,12
person0,v58,58,1.7847345,v58,58,True,v58,58,True,False,0,0,13
person0,v54,54,1.7913637,v58,58,True,v58,58,False,False,4,-4,14
person0,v62,62,1.8040043,v58,58,True,v58,58,False,False,4,4,15
person0,v40,40,1.8045541,v58,58,True,v58,58,False,False,18,-18,16
person0,v80,80,1.8062973,v58,58,True,v58,58,False,False,22,22,17
person0,v68,68,1.851673,v58,58,True,v58,58,False,False,10,10,18
person0,v74,74,1.8767135,v58,58,True,v58,58,False,False,16,16,19
person0,v79,79,1.8810153,v58,58,True,v58,58,False,False,21,21,20
person0,v94,94,1.8954966,v58,58,True,v58,58,False,False,36,36,21
person0,v56,56,1.9038762,v58,58,True,v58,58,False,False,2,-2,22
person0,v81,81,1.9102645,v58,58,True,v58,58,False,False,23,23,23
person0,v88,88,1.910975,v58,58,True,v58,58,False,False,30,30,24
person0,v51,51,1.9156728,v58,58,True,v58,58,False,False,7,-7,25
person0,v87,87,1.9250686,v58,58,True,v58,58,False,False,29,29,26
person0,v78,78,1.927615,v58,58,True,v58,58,False,False,20,20,27
person0,v27,27,1.9283209,v58,58,True,v58,58,False,False,31,-31,28
person0,v73,73,1.9345841,v58,58,True,v58,58,False,False,15,15,29
person0,v92,92,1.9400738,v58,58,True,v58,58,False,False,34,34,30
person0,v83,83,1.9424117,v58,58,True,v58,58,False,False,25,25,31
person0,v41,41,1.9609133,v58,58,True,v58,58,False,False,17,-17,32
person0,v75,75,1.9615968,v58,58,True,v58,58,False,False,17,17,33
person0,v36,36,1.9620174,v58,58,True,v58,58,False,False,22,-22,34
person0,v66,66,1.965529,v58,58,True,v58,58,False,False,8,8,35
person0,v32,32,1.9663681,v58,58,True,v58,58,False,False,26,-26,36
person0,v33,33,1.9684635,v58,58,True,v58,58,False,False,25,-25,37
person0,v35,35,1.9689934,v58,58,True,v58,58,False,False,23,-23,38
person0,v69,69,1.9714094,v58,58,True,v58,58,False,False,11,11,39
person0,v70,70,1.9869885,v58,58,True,v58,58,False,False,12,12,40
person0,v45,45,1.9878511,v58,58,True,v58,58,False,False,13,-13,41
person0,v53,53,1.9899153,v58,58,True,v58,58,False,False,5,-5,42
person0,v77,77,1.9927894,v58,58,True,v58,58,False,False,19,19,43
person0,v100,100,1.9934784,v58,58,True,v58,58,False,False,42,42,44
person0,v46,46,1.9952828,v58,58,True,v58,58,False,False,12,-12,45
person0,v89,89,2.00476,v58,58,True,v58,58,False,False,31,31,46
person0,v50,50,2.0061274,v58,58,True,v58,58,False,False,8,-8,47
person0,v48,48,2.0136604,v58,58,True,v58,58,False,False,10,-10,48
person0,v60,60,2.0165439,v58,58,True,v58,58,False,False,2,2,49
person0,v28,28,2.0279324,v58,58,True,v58,58,False,False,30,-30,50
person0,v99,99,2.0339978,v58,58,True,v58,58,False,False,41,41,51
person0,v25,25,2.0468369,v58,58,True,v58,58,False,False,33,-33,52
person0,v39,39,2.0486069,v58,58,True,v58,58,False,False,19,-19,53
person0,v49,49,2.0548472,v58,58,True,v58,58,False,False,9,-9,54
person0,v96,96,2.0584338,v58,58,True,v58,58,False,False,38,38,55
person0,v65,65,2.0643594,v58,58,True,v58,58,False,False,7,7,56
person0,v55,55,2.0667784,v58,58,True,v58,58,False,False,3,-3,57
person0,v72,72,2.0729914,v58,58,True,v58,58,False,False,14,14,58
person0,v10,10,2.073591,v58,58,True,v58,58,False,False,48,-48,59
person0,v97,97,2.076819,v58,58,True,v58,58,False,False,39,39,60
