removal_rank,head,relation,tail,first_removed_percent,seed,nested_removals
1,person16,hasAge,v31,15.0,42,True
2,person182,hasAge,v93,15.0,42,True
3,person142,hasAge,v50,15.0,42,True
4,person140,hasAge,v96,15.0,42,True
5,person188,hasAge,v53,15.0,42,True
6,person54,hasAge,v60,15.0,42,True
7,person32,hasAge,v7,15.0,42,True
8,person10,hasAge,v3,15.0,42,True
9,person22,hasAge,v30,15.0,42,True
10,person26,hasAge,v21,15.0,42,True
11,person156,hasAge,v68,15.0,42,True
12,person127,hasAge,v86,15.0,42,True
13,person101,hasAge,v64,15.0,42,True
14,person166,hasAge,v33,15.0,42,True
15,person67,hasAge,v80,15.0,42,True
16,person62,hasAge,v83,15.0,42,True
17,person71,hasAge,v21,15.0,42,True
18,person161,hasAge,v64,15.0,42,True
19,person66,hasAge,v15,15.0,42,True
20,person171,hasAge,v3,15.0,42,True
21,person35,hasAge,v81,15.0,42,True
22,person68,hasAge,v8,15.0,42,True
23,person167,hasAge,v19,15.0,42,True
24,person81,hasAge,v63,15.0,42,True
25,person112,hasAge,v93,15.0,42,True
26,person120,hasAge,v81,15.0,42,True
27,person131,hasAge,v23,15.0,42,True
28,person96,hasAge,v53,15.0,42,True
29,person98,hasAge,v4,15.0,42,True
30,person11,hasAge,v97,15.0,42,True
31,person175,hasAge,v18,30.0,42,True
32,person8,hasAge,v61,30.0,42,True
33,person6,hasAge,v7,30.0,42,True
34,person31,hasAge,v18,30.0,42,True
35,person76,hasAge,v77,30.0,42,True
36,person46,hasAge,v32,30.0,42,True
37,person144,hasAge,v29,30.0,42,True
38,person34,hasAge,v97,30.0,42,True
39,person179,hasAge,v15,30.0,42,True
40,person115,hasAge,v87,30.0,42,True
41,person7,hasAge,v87,30.0,42,True
42,person64,hasAge,v29,30.0,42,True
43,person29,hasAge,v6,30.0,42,True
44,person2,hasAge,v73,30.0,42,True
45,person113,hasAge,v81,30.0,42,True
46,person155,hasAge,v25,30.0,42,True
47,person20,hasAge,v62,30.0,42,True
48,person129,hasAge,v52,30.0,42,True
49,person59,hasAge,v33,30.0,42,True
50,person163,hasAge,v54,30.0,42,True
51,person47,hasAge,v52,30.0,42,True
52,person39,hasAge,v45,30.0,42,True
53,person147,hasAge,v51,30.0,42,True
54,person75,hasAge,v73,30.0,42,True
55,person57,hasAge,v20,30.0,42,True
56,person72,hasAge,v2,30.0,42,True
57,person116,hasAge,v81,30.0,42,True
58,person33,hasAge,v95,30.0,42,True
59,person77,hasAge,v8,30.0,42,True
60,person194,hasAge,v35,30.0,42,True
61,person103,hasAge,v51,45.0,42,True
62,person14,hasAge,v19,45.0,42,True
63,person199,hasAge,v78,45.0,42,True
64,person198,hasAge,v89,45.0,42,True
65,person45,hasAge,v67,45.0,42,True
66,person133,hasAge,v34,45.0,42,True
67,person65,hasAge,v55,45.0,42,True
68,person164,hasAge,v10,45.0,42,True
69,person83,hasAge,v7,45.0,42,True
70,person53,hasAge,v90,45.0,42,True
71,person86,hasAge,v73,45.0,42,True
72,person191,hasAge,v90,45.0,42,True
73,person110,hasAge,v30,45.0,42,True
74,person23,hasAge,v37,45.0,42,True
75,person186,hasAge,v82,45.0,42,True
76,person13,hasAge,v22,45.0,42,True
77,person27,hasAge,v52,45.0,42,True
78,person180,hasAge,v35,45.0,42,True
79,person189,hasAge,v25,45.0,42,True
80,person50,hasAge,v97,45.0,42,True
81,person138,hasAge,v37,45.0,42,True
82,person169,hasAge,v59,45.0,42,True
83,person17,hasAge,v53,45.0,42,True
84,person174,hasAge,v65,45.0,42,True
85,person137,hasAge,v71,45.0,42,True
86,person4,hasAge,v16,45.0,42,True
87,person56,hasAge,v10,45.0,42,True
88,person9,hasAge,v71,45.0,42,True
89,person30,hasAge,v61,45.0,42,True
90,person118,hasAge,v89,45.0,42,True
91,person19,hasAge,v30,60.0,42,True
92,person195,hasAge,v36,60.0,42,True
93,person196,hasAge,v73,60.0,42,True
94,person95,hasAge,v50,60.0,42,True
95,person51,hasAge,v78,60.0,42,True
96,person122,hasAge,v32,60.0,42,True
97,person90,hasAge,v13,60.0,42,True
98,person150,hasAge,v91,60.0,42,True
99,person119,hasAge,v54,60.0,42,True
100,person151,hasAge,v25,60.0,42,True
101,person88,hasAge,v89,60.0,42,True
102,person42,hasAge,v4,60.0,42,True
103,person21,hasAge,v15,60.0,42,True
104,person104,hasAge,v91,60.0,42,True
105,person41,hasAge,v50,60.0,42,True
106,person153,hasAge,v49,60.0,42,True
107,person162,hasAge,v64,60.0,42,True
108,person146,hasAge,v61,60.0,42,True
109,person69,hasAge,v99,60.0,42,True
110,person185,hasAge,v66,60.0,42,True
111,person121,hasAge,v90,60.0,42,True
112,person28,hasAge,v60,60.0,42,True
113,person5,hasAge,v16,60.0,42,True
114,person173,hasAge,v23,60.0,42,True
115,person80,hasAge,v86,60.0,42,True
116,person38,hasAge,v69,60.0,42,True
117,person92,hasAge,v76,60.0,42,True
118,person193,hasAge,v64,60.0,42,True
119,person87,hasAge,v64,60.0,42,True
120,person37,hasAge,v11,60.0,42,True
121,person63,hasAge,v36,75.0,42,True
122,person82,hasAge,v34,75.0,42,True
123,person168,hasAge,v5,75.0,42,True
124,person78,hasAge,v36,75.0,42,True
125,person126,hasAge,v82,75.0,42,True
126,person3,hasAge,v60,75.0,42,True
127,person177,hasAge,v39,75.0,42,True
128,person143,hasAge,v31,75.0,42,True
129,person158,hasAge,v25,75.0,42,True
130,person106,hasAge,v42,75.0,42,True
131,person18,hasAge,v44,75.0,42,True
132,person117,hasAge,v19,75.0,42,True
133,person125,hasAge,v43,75.0,42,True
134,person187,hasAge,v56,75.0,42,True
135,person154,hasAge,v99,75.0,42,True
136,person25,hasAge,v79,75.0,42,True
137,person181,hasAge,v12,75.0,42,True
138,person192,hasAge,v90,75.0,42,True
139,person159,hasAge,v73,75.0,42,True
140,person85,hasAge,v33,75.0,42,True
141,person184,hasAge,v27,75.0,42,True
142,person70,hasAge,v77,75.0,42,True
143,person109,hasAge,v9,75.0,42,True
144,person108,hasAge,v24,75.0,42,True
145,person97,hasAge,v43,75.0,42,True
146,person135,hasAge,v33,75.0,42,True
147,person74,hasAge,v71,75.0,42,True
148,person190,hasAge,v10,75.0,42,True
149,person24,hasAge,v46,75.0,42,True
150,person152,hasAge,v15,75.0,42,True
151,person170,hasAge,v68,,42,True
152,person93,hasAge,v57,,42,True
153,person148,hasAge,v6,,42,True
154,person36,hasAge,v31,,42,True
155,person60,hasAge,v39,,42,True
156,person130,hasAge,v42,,42,True
157,person123,hasAge,v12,,42,True
158,person89,hasAge,v48,,42,True
159,person43,hasAge,v91,,42,True
160,person178,hasAge,v94,,42,True
161,person160,hasAge,v37,,42,True
162,person197,hasAge,v90,,42,True
163,person15,hasAge,v19,,42,True
164,person165,hasAge,v84,,42,True
165,person0,hasAge,v38,,42,True
166,person55,hasAge,v92,,42,True
167,person49,hasAge,v19,,42,True
168,person128,hasAge,v2,,42,True
169,person102,hasAge,v32,,42,True
170,person107,hasAge,v76,,42,True
171,person48,hasAge,v55,,42,True
172,person141,hasAge,v26,,42,True
173,person136,hasAge,v52,,42,True
174,person1,hasAge,v95,,42,True
175,person12,hasAge,v83,,42,True
176,person124,hasAge,v24,,42,True
177,person91,hasAge,v72,,42,True
178,person139,hasAge,v97,,42,True
179,person94,hasAge,v77,,42,True
180,person114,hasAge,v64,,42,True
