run,missing_only,n_pairs,mean_query_abs_error,std_query_abs_error,mean_learning_abs_error,std_learning_abs_error,mean_error_difference_query_minus_learning,median_error_difference_query_minus_learning,std_error_difference_query_minus_learning,paired_t_p_value,wilcoxon_p_value,cohen_dz_query_minus_learning,bootstrap_mean_diff_ci_low,bootstrap_mean_diff_ci_high,better_method_by_mean,window_condition,removal_percent,removed_relation,nested_removals
with_windows_original,False,500,1.632,3.332685040497874,0.9285964164733886,0.7256528849974729,0.7034035835266114,-0.44222068786621094,3.4034541649029935,4.85999167444307e-06,0.0028544702143880035,0.20667344099422008,0.4181478572845459,1.0111015118598934,learned_regression,with_windows,0.0,hasAge,True
without_windows_original,False,500,1.53,3.3327638124023307,0.8650030975341797,0.6816728968775576,0.6649969024658203,-0.46149444580078125,3.39019518235472,1.4085076190412418e-05,2.2414598781656153e-06,0.19615298432579772,0.3778731302261353,0.9659575946807857,learned_regression,without_windows,0.0,hasAge,True
with_windows_removed_15pct,False,500,2.698,4.909889002822781,0.8711304244995117,0.8005108653736472,1.8268695755004882,-0.22114276885986325,4.83266041357618,3.1433686587791967e-16,0.009586616895864828,0.37802564615720646,1.4162041339874267,2.267779588794708,learned_regression,with_windows,15.0,hasAge,True
without_windows_removed_15pct,False,500,2.428,4.383977019672666,1.0429124870300293,1.0387233187973242,1.3850875129699707,-0.3750572204589844,4.3544514539670525,3.9724615762815495e-12,0.5513750693931984,0.3180854184763294,1.001397449684143,1.7780937333106988,learned_regression,without_windows,15.0,hasAge,True
with_windows_removed_30pct,False,500,3.53,5.101485107358562,1.3549639625549317,1.7677731048258605,2.1750360374450683,-0.1346073150634765,4.913718378116633,3.289818316233514e-21,8.425500590610529e-07,0.44264564431116876,1.7579802814483643,2.6170850767135616,learned_regression,with_windows,30.0,hasAge,True
without_windows_removed_30pct,False,500,3.452,5.710421510506498,1.2229753723144532,1.5351252116104455,2.229024627685547,-0.1275653839111328,5.605661741341471,1.1055755012189138e-17,1.0360151879060881e-05,0.3976380899415681,1.7578576621055602,2.730406299304962,learned_regression,without_windows,30.0,hasAge,True
with_windows_removed_45pct,False,500,4.982,6.599756781818427,1.6026539039611816,2.1319518605156946,3.379346096038818,-0.03187179565429685,6.4920912694078,7.212816840710825e-28,1.0369087622151247e-12,0.5205327460448776,2.8113756551742553,3.960483535099029,learned_regression,with_windows,45.0,hasAge,True
without_windows_removed_45pct,False,500,4.438,5.65279259554572,1.8111840324401856,2.43605290243896,2.6268159675598146,-0.0432662963867187,5.597351411828592,2.056189653466466e-23,1.800620786967274e-10,0.46929623929072967,2.155409818649292,3.126202681827545,learned_regression,without_windows,45.0,hasAge,True
with_windows_removed_60pct,False,500,5.16,5.821527321993898,1.8963574028015138,2.268323261236086,3.263642597198486,1.1446990966796875,5.993453535319115,4.8077333314333796e-30,6.845255275275686e-22,0.5445345622462922,2.7625776401519775,3.7961642376899714,learned_regression,with_windows,60.0,hasAge,True
without_windows_removed_60pct,False,500,5.082,5.497975214833716,1.6981554565429688,2.0738399932269123,3.3838445434570312,1.4728164672851562,5.431535161635717,1.698156882281153e-37,4.088674978962192e-27,0.6229996571426006,2.914778892993927,3.871454211044311,learned_regression,without_windows,60.0,hasAge,True
with_windows_removed_75pct,False,500,8.754,8.202929971677223,1.7356008644104004,1.8101765706239341,7.0183991355896,4.966924667358398,8.0594263313599,3.0670151129011026e-63,1.4023385706505722e-58,0.8708311047252114,6.322213933467864,7.751429448032377,learned_regression,with_windows,75.0,hasAge,True
without_windows_removed_75pct,False,500,7.694,7.763562959082594,1.7899478797912598,1.9344035446368044,5.90405212020874,3.5150394439697266,7.936648249388821,9.410575944637847e-50,6.766563905856533e-43,0.7438974154692309,5.210279357433319,6.597858291912078,learned_regression,without_windows,75.0,hasAge,True
