run,experiment,window_condition,removal_percent,removed_relation,nested_removals,n_missing_people,best_person,best_true_age,best_pred_age,best_error,best_abs_error,worst_person,worst_true_age,worst_pred_age,worst_error,worst_abs_error,mean_top1_abs_error,median_top1_abs_error,max_top1_abs_error,mean_top1_error,std_top1_error,std_top1_abs_error,mean_top1_avg_abs_error,median_top1_avg_abs_error,std_top1_avg_error,std_top1_avg_abs_error,mean_top2_avg_abs_error,median_top2_avg_abs_error,std_top2_avg_error,std_top2_avg_abs_error,mean_top3_avg_abs_error,median_top3_avg_abs_error,std_top3_avg_error,std_top3_avg_abs_error,mean_top4_avg_abs_error,median_top4_avg_abs_error,std_top4_avg_error,std_top4_avg_abs_error,mean_top5_avg_abs_error,median_top5_avg_abs_error,std_top5_avg_error,std_top5_avg_abs_error,mean_top6_avg_abs_error,median_top6_avg_abs_error,std_top6_avg_error,std_top6_avg_abs_error,mean_top7_avg_abs_error,median_top7_avg_abs_error,std_top7_avg_error,std_top7_avg_abs_error,mean_top8_avg_abs_error,median_top8_avg_abs_error,std_top8_avg_error,std_top8_avg_abs_error,mean_top9_avg_abs_error,median_top9_avg_abs_error,std_top9_avg_error,std_top9_avg_abs_error,mean_top10_avg_abs_error,median_top10_avg_abs_error,std_top10_avg_error,std_top10_avg_abs_error
with_windows_removed_15pct,500,with_windows,15.0,hasAge,True,75,person1,95.0,95.0,0.0,0.0,person397,43.0,65.0,22.0,22.0,5.36,3.0,22.0,2.16,7.5749230662403075,5.743715719834181,5.36,3.0,7.5749230662403075,5.743715719834181,5.1466666666666665,3.5,6.832045582901716,5.092239281583388,5.195555555555556,4.0,6.724142628922598,4.800241902479741,5.13,3.75,6.582420965402149,4.6039715522637685,4.682666666666666,3.8000000000000007,5.755745425694695,3.9628127238975956,4.584444444444445,3.833333333333334,5.593280324173354,3.8268034211890773,4.390476190476192,3.8571428571428577,5.1514992453738495,3.2779270935333984,4.4,4.0,5.0502581104317805,3.0932167503854084,4.503703703703704,4.333333333333336,5.032419864651456,2.942011762551055,4.417333333333333,4.299999999999997,4.880520943985866,2.827537049406385
without_windows_removed_15pct,500,without_windows,15.0,hasAge,True,75,person145,5.0,5.0,0.0,0.0,person24,46.0,25.0,-21.0,21.0,6.1066666666666665,5.0,21.0,-1.7866666666666666,7.913883341921939,5.298070360947422,6.1066666666666665,5.0,7.913883341921939,5.298070360947422,5.033333333333333,3.5,6.33493104550881,3.9381479160906347,4.635555555555556,4.0,5.869563167031409,3.620169281349372,3.9566666666666666,3.5,4.967944542058916,2.9749441663319987,3.6373333333333333,2.799999999999997,4.667927757533266,2.8954191842032566,3.606666666666666,3.0,4.614653294130018,2.848480971297482,3.4247619047619042,3.0,4.413998524559285,2.757027157967469,3.475,3.125,4.371068374978678,2.6207333407356126,3.622222222222222,3.0,4.4777033851499315,2.6002746191049564,3.6599999999999993,3.0999999999999943,4.424060749301879,2.4487724448152557
with_windows_removed_30pct,500,with_windows,30.0,hasAge,True,150,person134,94.0,94.0,0.0,0.0,person157,76.0,47.0,-29.0,29.0,6.74,5.0,29.0,2.7,8.45338580354784,5.750319512570088,6.74,5.0,8.45338580354784,5.750319512570088,5.65,4.5,6.9450616578808955,4.6810162092945005,5.168888888888889,4.0,6.455222543491855,4.25628397416161,5.008333333333334,4.375,5.97624421910977,3.7072413117002156,4.8373333333333335,4.4,5.759927292605991,3.5377455883478564,4.864444444444444,4.5,5.668048259001362,3.492689001378876,4.879047619047619,4.785714285714285,5.520295302716364,3.391810623954482,4.985833333333333,4.5,5.582584238873277,3.2102152082757924,4.942962962962963,4.444444444444443,5.604642648983272,3.2697575424977314,4.787333333333333,4.450000000000003,5.453875292367619,3.2550280499964943
without_windows_removed_30pct,500,without_windows,30.0,hasAge,True,150,person108,24.0,24.0,0.0,0.0,person161,64.0,30.0,-34.0,34.0,6.226666666666667,5.0,34.0,-1.6,8.268156753919373,5.648717460498964,6.226666666666667,5.0,8.268156753919373,5.648717460498964,5.34,4.0,7.289218540771229,5.125380981092263,4.946666666666666,3.666666666666666,6.833252032036674,4.805552344250693,4.703333333333333,3.5,6.681530689070678,4.817333310423273,4.398666666666665,3.0,6.125527909496648,4.313144987917853,4.401111111111111,3.3333333333333313,5.924654206539347,3.9861382047942864,4.130476190476191,3.071428571428573,5.605207644420319,3.8280725718797144,4.125,3.0,5.609489552758396,3.80670218740896,4.06888888888889,3.1111111111111143,5.49734299090718,3.6897600563376654,3.960666666666666,3.049999999999997,5.345435193220633,3.585576936656093
with_windows_removed_45pct,500,with_windows,45.0,hasAge,True,225,person108,24.0,24.0,0.0,0.0,person103,51.0,16.0,-35.0,35.0,7.942222222222222,6.0,35.0,-0.6,10.572876348738516,6.98475664549778,7.942222222222222,6.0,10.572876348738516,6.98475664549778,6.351111111111111,5.5,8.028086856245924,4.941290237007861,5.368888888888889,4.333333333333336,6.762568480355605,4.174483144511369,5.316666666666666,4.75,6.599416573239096,3.970524771901784,5.090666666666667,4.200000000000003,6.363876850743465,3.879243298818543,4.892592592592593,4.0,6.162878859570623,3.771163093242951,4.720634920634922,4.0,5.783097445779323,3.3539872755630435,4.569444444444445,3.875,5.649501202697962,3.332147296437949,4.615802469135803,4.0,5.579456435638329,3.1503849818712015,4.72711111111111,4.200000000000003,5.693946695241707,3.193397640768135
without_windows_removed_45pct,500,without_windows,45.0,hasAge,True,225,person0,38.0,38.0,0.0,0.0,person394,35.0,11.0,-24.0,24.0,6.906666666666666,6.0,24.0,0.4622222222222222,9.013860579112734,5.792174523811045,6.906666666666666,6.0,9.013860579112734,5.792174523811045,5.637777777777778,5.0,7.054906544328305,4.274472027176118,5.232592592592593,4.333333333333329,6.617585531869229,4.069427785869799,4.981111111111111,4.25,6.108847141061654,3.552135438104088,4.561777777777778,3.6000000000000014,5.775264990828189,3.558410114037242,4.431111111111112,4.0,5.5853787811345255,3.4092646300133875,4.4012698412698406,3.7142857142857153,5.512626493645167,3.3576961960153553,4.395,3.875,5.502130269268441,3.333765968947773,4.392592592592592,4.111111111111111,5.5087791796519285,3.350978429860415,4.2555555555555555,3.799999999999997,5.380200953643581,3.315962176914893
with_windows_removed_60pct,500,with_windows,60.0,hasAge,True,300,person108,24.0,24.0,0.0,0.0,person204,61.0,100.0,39.0,39.0,6.783333333333333,5.0,39.0,1.1433333333333333,8.9275861727454,5.903039483126756,6.783333333333333,5.0,8.9275861727454,5.903039483126756,5.678333333333334,4.5,7.240782207663636,4.7822865630846945,5.166666666666667,4.0,6.457432292307536,4.171134728117044,5.1325,4.25,6.218682686341234,3.9690148668627994,4.946,4.199999999999999,6.058258190907046,3.946754816123662,4.884444444444445,4.0,5.974301980739404,3.870077238541944,4.9871428571428575,4.285714285714285,6.046473244076201,3.798114713975883,5.056666666666667,4.375,6.05024392111729,3.7123975011093617,5.02,4.277777777777778,5.995403591507202,3.6636772607104753,5.019,4.700000000000001,5.968928045025251,3.5969616033424283
without_windows_removed_60pct,500,without_windows,60.0,hasAge,True,300,person113,81.0,81.0,0.0,0.0,person156,68.0,92.0,24.0,24.0,6.733333333333333,6.0,24.0,-0.5,8.556520719471347,5.289184606492834,6.733333333333333,6.0,8.556520719471347,5.289184606492834,4.975,4.0,6.35176811557065,4.001280104531097,4.838888888888889,4.0,6.066159358242554,3.665952938879674,4.5408333333333335,3.75,5.680538651406452,3.418453899415688,4.226666666666667,3.5999999999999943,5.299901515670669,3.2172334168376633,4.384444444444445,3.75,5.435273219525456,3.226691373968321,4.467619047619047,4.0,5.4825300487913164,3.1835697175958257,4.407916666666667,3.875,5.431281506766277,3.1715199361515785,4.37,3.722222222222225,5.469420852376408,3.2897706517319314,4.503,3.8999999999999995,5.559796309719821,3.2634221425165886
with_windows_removed_75pct,500,with_windows,75.0,hasAge,True,375,person121,90.0,90.0,0.0,0.0,person115,87.0,42.0,-45.0,45.0,10.133333333333333,8.0,45.0,2.3626666666666667,12.819883175543414,8.184590538422794,10.133333333333333,8.0,12.819883175543414,8.184590538422794,8.442666666666666,7.0,10.717725335332883,6.7560662646653356,8.225777777777779,6.666666666666664,10.166540096423393,6.069657969841918,7.879333333333333,6.75,9.766978087544112,5.83255141181623,7.743466666666667,6.799999999999997,9.618841789002138,5.740968609077216,7.601777777777778,6.666666666666671,9.289080686696675,5.371100385430011,7.492952380952381,6.285714285714292,9.198189105393624,5.3647022668704425,7.485666666666667,6.75,9.125142821141973,5.237842705935451,7.2930370370370365,6.444444444444443,8.963626190619317,5.235254712407729,7.131466666666667,6.199999999999999,8.832889858036653,5.253648768545933
without_windows_removed_75pct,500,without_windows,75.0,hasAge,True,375,person139,97.0,97.0,0.0,0.0,person451,56.0,97.0,41.0,41.0,9.050666666666666,7.0,41.0,-0.6826666666666666,11.925485823278317,7.781446007059634,9.050666666666666,7.0,11.925485823278317,7.781446007059634,7.324,6.0,9.457579555662928,5.984691701279047,6.126222222222221,4.666666666666668,7.995173628308602,5.175305563996087,5.849333333333333,4.5,7.656191324486866,4.969892598645139,5.370666666666667,4.199999999999999,6.9545752211216225,4.463792940463275,5.249333333333333,4.5,6.742542721625216,4.275944402674029,5.1165714285714285,4.285714285714285,6.529968122769272,4.084627420386642,5.0263333333333335,4.25,6.379980456387458,3.964700302021388,4.955555555555556,4.333333333333329,6.27298002411598,3.8866558396515556,4.8373333333333335,4.399999999999999,6.049703906957252,3.6943074193112158
