model,removal_percent,with_windows_spearman_abs,without_windows_spearman_abs,delta_spearman_with_minus_without,with_windows_kendall_abs,without_windows_kendall_abs,delta_kendall_with_minus_without
distmult,0.0,0.7780378037803779,0.0684068406840684,0.7096309630963095,0.5393939393939395,0.04282828282828284,0.4965656565656567
distmult,25.0,0.7418661866186618,0.05413741374137413,0.6877287728772876,0.4993939393939395,0.03636363636363637,0.4630303030303031
distmult,50.0,0.7509150915091508,0.07522352235223523,0.6756915691569156,0.5070707070707071,0.046060606060606066,0.46101010101010104
distmult,75.0,0.783042304230423,0.15025502550255024,0.6327872787278728,0.5454545454545455,0.098989898989899,0.4464646464646465
distmult,99.0,0.8044884488448845,0.06111011101110111,0.7433783378337834,0.5822222222222223,0.04161616161616163,0.5406060606060606
mure,0.0,0.9909390939093908,0.9915151515151513,-0.000576057605760516,0.9305050505050507,0.9284848484848486,0.0020202020202021442
mure,25.0,0.9863186318631862,0.9878667866786678,-0.0015481548154815394,0.9103030303030304,0.9143434343434346,-0.0040404040404041774
mure,50.0,0.9885508550855084,0.9794539453945392,0.009096909690969213,0.9179797979797981,0.8856565656565658,0.03232323232323231
mure,75.0,0.9816741674167416,0.9894749474947493,-0.007800780078007663,0.8933333333333334,0.9195959595959596,-0.02626262626262621
mure,99.0,0.9866186618661865,0.9873267326732673,-0.0007080708070807962,0.9135353535353536,0.913939393939394,-0.00040404040404040664
transd,0.0,0.9778697869786978,0.9863666366636662,-0.008496849684968444,0.8735353535353537,0.9042424242424244,-0.030707070707070683
transd,25.0,0.9805460546054604,0.985154515451545,-0.004608460846084572,0.8832323232323234,0.8977777777777779,-0.014545454545454528
transd,50.0,0.9776297629762976,0.9772817281728171,0.0003480348034804459,0.8715151515151516,0.873939393939394,-0.00242424242424244
transd,75.0,0.9787698769876988,0.9800420042004199,-0.0012721272127210748,0.8735353535353537,0.8840404040404042,-0.010505050505050462
transd,99.0,0.9782898289828982,0.984122412241224,-0.0058325832583258075,0.8719191919191921,0.8961616161616163,-0.024242424242424176
transe,0.0,0.971017101710171,0.9686048604860485,0.0024122412241224245,0.85979797979798,0.8492929292929294,0.010505050505050573
transe,25.0,0.9790459045904589,0.9734893489348935,0.005556555655565454,0.875959595959596,0.8589898989898991,0.016969696969696968
transe,50.0,0.9742574257425741,0.9767176717671766,-0.002460246024602486,0.8674747474747476,0.8743434343434344,-0.006868686868686802
transe,75.0,0.9789258925892588,0.976033603360336,0.0028922892289228175,0.8763636363636366,0.8727272727272728,0.003636363636363771
transe,99.0,0.9743054305430543,0.9736693669366936,0.0006360636063607039,0.8593939393939395,0.8646464646464648,-0.005252525252525286
transr,0.0,0.1818301830183018,0.3209720972097209,-0.1391419141914191,0.1094949494949495,0.216969696969697,-0.1074747474747475
transr,25.0,0.1517071707170717,0.058577857785778564,0.09312931293129315,0.1090909090909091,0.04242424242424243,0.06666666666666668
transr,50.0,0.07882388238823883,0.3525472547254725,-0.27372337233723365,0.05292929292929294,0.24040404040404043,-0.1874747474747475
transr,75.0,0.8402400240024,0.24834083408340832,0.5918991899189917,0.6367676767676769,0.1446464646464647,0.4921212121212122
transr,99.0,0.021986198619861983,0.0891209120912091,-0.06713471347134713,0.017373737373737378,0.05818181818181819,-0.04080808080808081
