Windowing,Population Size,Removal %,QP MAE/SD (years),Learned Regression MAE/SD (years)
With Windowing,500,0%,"1.632, 3.333","0.929, 0.726"
With Windowing,500,15%,"2.698, 4.910","0.871, 0.801"
With Windowing,500,30%,"3.530, 5.101","1.355, 1.768"
With Windowing,500,45%,"4.982, 6.600","1.603, 2.132"
With Windowing,500,60%,"5.160, 5.822","1.896, 2.268"
With Windowing,500,75%,"8.754, 8.203","1.736, 1.810"
With Windowing,200,0%,"1.290, 3.740","0.471, 0.518"
With Windowing,200,15%,"1.920, 4.139","0.835, 1.619"
With Windowing,200,30%,"2.905, 5.074","1.313, 2.257"
With Windowing,200,45%,"4.480, 5.545","1.834, 2.741"
With Windowing,200,60%,"5.835, 6.914","2.022, 2.531"
With Windowing,200,75%,"8.730, 8.397","2.446, 2.492"
With Windowing,100,0%,"2.790, 5.470","0.209, 0.374"
With Windowing,100,15%,"3.490, 5.663","0.765, 1.844"
With Windowing,100,30%,"6.200, 7.333","1.107, 2.158"
With Windowing,100,45%,"8.620, 8.430","2.163, 3.066"
With Windowing,100,60%,"12.020, 10.111","2.620, 3.257"
With Windowing,100,75%,"12.410, 12.256","3.321, 3.473"
Without Windowing,500,0%,"1.530, 3.333","0.865, 0.682"
Without Windowing,500,15%,"2.428, 4.384","1.043, 1.039"
Without Windowing,500,30%,"3.452, 5.710","1.223, 1.535"
Without Windowing,500,45%,"4.438, 5.653","1.811, 2.436"
Without Windowing,500,60%,"5.082, 5.498","1.698, 2.074"
Without Windowing,500,75%,"7.694, 7.764","1.790, 1.934"
Without Windowing,200,0%,"0.935, 2.572","0.460, 0.416"
Without Windowing,200,15%,"1.995, 4.053","0.728, 1.463"
Without Windowing,200,30%,"3.635, 5.557","1.239, 2.319"
Without Windowing,200,45%,"4.200, 6.724","2.203, 3.168"
Without Windowing,200,60%,"5.760, 6.585","2.134, 2.758"
Without Windowing,200,75%,"7.735, 6.968","2.218, 2.388"
Without Windowing,100,0%,"1.980, 3.913","0.248, 0.215"
Without Windowing,100,15%,"4.640, 7.542","0.683, 1.647"
Without Windowing,100,30%,"7.710, 6.696","2.197, 3.927"
Without Windowing,100,45%,"8.850, 11.139","1.880, 2.987"
Without Windowing,100,60%,"7.710, 7.320","2.643, 3.371"
Without Windowing,100,75%,"13.540, 12.463","3.545, 3.776"
