label,tsv_path,experiment,embedding_model,window_condition,removal_percent,relation,seed,nested_removals,sort_order
with_windows_original,kgs/with_windows_original.tsv,200people_shared_kg,shared_only,with_windows,0.0,hasAge,42,True,0
without_windows_original,kgs/without_windows_original.tsv,200people_shared_kg,shared_only,without_windows,0.0,hasAge,42,True,1
with_windows_removed_25pct,kgs/with_windows_hasAge_removed_25pct.tsv,200people_shared_kg,shared_only,with_windows,25.0,hasAge,42,True,2
without_windows_removed_25pct,kgs/without_windows_hasAge_removed_25pct.tsv,200people_shared_kg,shared_only,without_windows,25.0,hasAge,42,True,3
with_windows_removed_50pct,kgs/with_windows_hasAge_removed_50pct.tsv,200people_shared_kg,shared_only,with_windows,50.0,hasAge,42,True,4
without_windows_removed_50pct,kgs/without_windows_hasAge_removed_50pct.tsv,200people_shared_kg,shared_only,without_windows,50.0,hasAge,42,True,5
with_windows_removed_75pct,kgs/with_windows_hasAge_removed_75pct.tsv,200people_shared_kg,shared_only,with_windows,75.0,hasAge,42,True,6
without_windows_removed_75pct,kgs/without_windows_hasAge_removed_75pct.tsv,200people_shared_kg,shared_only,without_windows,75.0,hasAge,42,True,7
with_windows_removed_99pct,kgs/with_windows_hasAge_removed_99pct.tsv,200people_shared_kg,shared_only,with_windows,99.0,hasAge,42,True,8
without_windows_removed_99pct,kgs/without_windows_hasAge_removed_99pct.tsv,200people_shared_kg,shared_only,without_windows,99.0,hasAge,42,True,9
