person,candidate_v,candidate_v_num,distance,true_v,true_v_num,exists_in_run,run_v,run_v_num,is_ground_truth,ground_truth_missing_in_run,absolute_error,signed_error,distance_rank_for_person
person0,v2,2,3.1767247,v2,2,True,v2,2,True,False,0,0,1
person0,v7,7,3.4348755,v2,2,True,v2,2,False,False,5,5,2
person0,v4,4,3.504322,v2,2,True,v2,2,False,False,2,2,3
person0,v5,5,3.5094464,v2,2,True,v2,2,False,False,3,3,4
person0,v6,6,3.515399,v2,2,True,v2,2,False,False,4,4,5
person0,v10,10,3.6380925,v2,2,True,v2,2,False,False,8,8,6
person0,v3,3,3.665282,v2,2,True,v2,2,False,False,1,1,7
person0,v9,9,3.6774333,v2,2,True,v2,2,False,False,7,7,8
person0,v15,15,3.7032285,v2,2,True,v2,2,False,False,13,13,9
person0,v12,12,3.7192893,v2,2,True,v2,2,False,False,10,10,10
person0,v11,11,3.7477412,v2,2,True,v2,2,False,False,9,9,11
person0,v8,8,3.7516472,v2,2,True,v2,2,False,False,6,6,12
person0,v16,16,3.7569113,v2,2,True,v2,2,False,False,14,14,13
person0,v23,23,3.7725928,v2,2,True,v2,2,False,False,21,21,14
person0,v13,13,3.787603,v2,2,True,v2,2,False,False,11,11,15
person0,v14,14,3.7940617,v2,2,True,v2,2,False,False,12,12,16
person0,v17,17,3.8169808,v2,2,True,v2,2,False,False,15,15,17
person0,v20,20,3.874143,v2,2,True,v2,2,False,False,18,18,18
person0,v18,18,3.8768885,v2,2,True,v2,2,False,False,16,16,19
person0,v19,19,3.8973846,v2,2,True,v2,2,False,False,17,17,20
person0,v29,29,3.8974748,v2,2,True,v2,2,False,False,27,27,21
person0,v24,24,3.9237409,v2,2,True,v2,2,False,False,22,22,22
person0,v27,27,3.9385228,v2,2,True,v2,2,False,False,25,25,23
person0,v21,21,3.942798,v2,2,True,v2,2,False,False,19,19,24
person0,v28,28,3.9852216,v2,2,True,v2,2,False,False,26,26,25
person0,v1,1,4.034966,v2,2,True,v2,2,False,False,1,-1,26
person0,v37,37,4.0442004,v2,2,True,v2,2,False,False,35,35,27
person0,v22,22,4.057483,v2,2,True,v2,2,False,False,20,20,28
person0,v26,26,4.072318,v2,2,True,v2,2,False,False,24,24,29
person0,v30,30,4.1053166,v2,2,True,v2,2,False,False,28,28,30
person0,v34,34,4.160541,v2,2,True,v2,2,False,False,32,32,31
person0,v38,38,4.1740685,v2,2,True,v2,2,False,False,36,36,32
person0,v32,32,4.1753745,v2,2,True,v2,2,False,False,30,30,33
person0,v33,33,4.2648473,v2,2,True,v2,2,False,False,31,31,34
